fips,county,year,pm25_mean,ozone_8hr_avg,rsei_tox_air,impaired_stream_miles,npdes_permits_count,avg_temp_f,annual_precip_in
37001,,2024,7.13515918,53.41179273,324.8131286,75.73192221362798,22.0,25.85999930245536,120.6345703125
37003,,2024,7.409739358,53.243508,2024.897148,18.034013704936942,1.0,24.81219482421875,115.79951886432929
37005,,2024,6.194547293,51.95882636,19.58252707,7.82719576009035,4.0,21.165789152446543,131.79105417351974
37007,,2024,7.291796015,52.561749,218.4297719,136.97553943109972,12.0,26.97875061035156,123.334619140625
37009,,2024,5.82976341,52.80042846,5.687992049,13.402899909170184,10.0,20.362119732481062,133.4783380681818
37011,,2024,5.495888021,54.722765,599.7615784,24.164299252966515,23.0,19.797435271434296,140.47230568910257
37013,,2024,5.624743865,51.41069775,1804.28064,225.8839296268822,11.0,26.72713216145833,165.14224503391472
37015,,2024,5.864000202,50.244064,989.8663821,37.51233164291638,5.0,26.223149052372687,151.0927734375
37017,,2024,6.065156316,52.87465,102.7694366,8.475657466689375,8.0,26.98759614219961,162.56246971899225
37019,,2024,5.718173629,53.36108992,604.8489689,376.9554230856384,14.0,26.956452400453628,186.86677797379036
37021,,2024,5.673945271,54.98890065,534.2366057,81.45032604182157,58.0,22.041837731186224,126.38081951530611
37023,,2024,6.83313424,53.55958197,2116.594483,56.25741551340285,12.0,24.511392714102055,124.06974386867088
37025,,2024,8.101039316,56.37260658,3293.921333,151.2907847943051,11.0,26.23207639298349,111.6547206662736
37027,,2024,6.794208102,52.83608921,2045.173512,44.37411525954371,19.0,24.36111280653212,131.9444308810764
37029,,2024,5.709293078,51.84128,9.227738078,15.936912974418105,3.0,26.20000143612132,141.29294002757354
37031,,2024,5.274081023,53.26464612,32.73755602,667.0609455563997,19.0,26.92631771689967,196.3781609786184
37033,,2024,7.074613097,52.21514111,319.5218364,2.484070304253372,5.0,25.650795588417655,115.66460503472224
37035,,2024,7.799588207,54.40937374,19212.8204,146.4950933640268,13.0,25.35423563294492,113.36321504237289
37037,,2024,7.173155111,52.52942121,213.0625615,151.32131899194945,107.0,26.267925910229952,125.14764519457547
37039,,2024,6.170078965,54.3827337,8.525498776,55.36316532510765,4.0,23.08181855172822,157.94636304450756
37041,,2024,5.71266774,49.98941857,1145.736422,16.498081224437573,,26.41538414588341,148.6407752403846
37043,,2024,6.102818607,54.2509675,0.014293198,19.99198307744232,7.0,22.02413624730604,166.36001481681035
37045,,2024,7.686477424,54.13728026,1082.636187,7.234085540463109,16.0,25.632857840401787,112.56428571428572
37047,,2024,6.080112287,52.57210542,243.6437054,68.01155239740623,6.0,26.96449169214221,164.32051064311594
37049,,2024,5.486294486,52.4923193,536.8755599,130.14298363750888,14.0,26.652251372466218,179.06929194819818
37051,,2024,6.96557303,53.61810965,1000.449768,7.256753547751336,9.0,27.08484749842172,140.18353456439394
37053,,2024,5.753365528,53.76630333,5.779587689,231.5886655528403,2.0,26.322221544053814,140.17667643229166
37055,,2024,5.514910439,55.42935618,3.69465e-05,198.79963596517985,14.0,26.514546342329545,149.8198153409091
37057,,2024,8.064574944,56.13614817,4406.251512,229.8152095280333,39.0,25.634116498161763,113.12846966911764
37059,,2024,8.090342774,54.79425037,2036.755301,28.58326529345244,12.0,25.35,108.254248046875
37061,,2024,5.831341081,53.56452491,170.6340046,28.655402447770488,13.0,26.55680078125,177.784796875
37063,,2024,7.267563341,53.0828779,554.5501851,134.8072344403528,406.0,26.047825025475543,120.84653108016305
37065,,2024,6.371622002,52.51046,171.0943097,12.582103579358929,3.0,26.371428254362822,146.33635602678572
37067,,2024,7.924931399,55.9927428,28819.11955,57.70264273675416,85.0,25.318644895391948,110.679836467161
37069,,2024,6.908625403,52.45934634,245.8872818,24.82136662397116,7.0,26.06027430704195,123.83958957619863
37071,,2024,7.993056823,55.22330916,3006.96711,130.84895315871233,38.0,25.99636452414773,109.83528053977273
37073,,2024,5.985028333,50.286865,379.8693215,14.613487507973018,3.0,26.051020408163264,140.62876674107142
37075,,2024,5.806838546,55.14908556,2.589847326,,5.0,21.75217470915421,166.91044284986413
37077,,2024,7.007325055,52.0738141,361.886313,24.76597721792188,11.0,25.713751220703124,114.76524658203124
37079,,2024,6.198979592,53.38834143,121.2985636,42.582431316794526,4.0,26.679998779296877,163.24375
37081,,2024,7.461742748,55.63919367,6365.638959,123.59685599947736,31.0,25.6843744913737,115.09635416666669
37083,,2024,6.39711149,51.49786412,4768.357215,2.111685614577799,8.0,26.1875,136.06392996651786
37085,,2024,7.044877286,53.26017403,206.2985765,27.85573346137345,6.0,26.73636419122869,135.1768243963068
37087,,2024,5.511189211,55.56682593,1029.753206,47.84352374913548,34.0,19.94390273675686,147.54475514481706
37089,,2024,6.011213544,54.35068026,320.5192994,57.38456566582327,53.0,22.67777958622685,139.55425347222223
37091,,2024,6.085886046,50.4060235,1064.25703,57.581613494036645,2.0,26.04901960784314,143.6317593443627
37093,,2024,7.052136612,53.28613618,89.81999692,,4.0,26.85178484235491,133.09196254185267
37095,,2024,5.296870594,51.64343,384.9219882,97.44908727609445,8.0,26.855961510894492,162.69595756880733
37097,,2024,8.062060688,54.97564099,1316.918501,327.9208969796948,15.0,25.260676351825843,111.71753204002808
37099,,2024,5.717353983,54.23514407,19.41507709,35.7072141945917,26.0,20.70684898062928,163.60247217465752
37101,,2024,6.934564257,53.73788854,103.4215493,95.27839365362452,23.0,26.660505022321427,142.8071494222689
37103,,2024,5.558494692,53.08982286,146.21831,17.697132607038906,2.0,26.48428606305804,178.7970005580357
37105,,2024,7.17290823,52.0029075,103.9147581,23.46239409662685,9.0,26.45609637004573,127.86268578506098
37107,,2024,5.957008325,53.72711,447.7063243,6.730503975675972,2.0,26.655000813802083,169.40250651041666
37109,,2024,7.967679079,55.03043784,2437.341282,111.7642877469239,5.0,25.58333333333333,111.67571149553572
37113,,2024,5.904795809,53.76405357,0.491643054,42.65415772633692,32.0,21.357333984375,168.86333333333334
37115,,2024,5.532042446,55.89798059,852.4470985,12.420120439972605,5.0,22.461765064912683,127.85456399356616
37117,,2024,5.856752912,50.93663364,309.9141548,18.172559554472706,8.0,26.37230694110577,158.94137620192308
37111,,2024,5.96671635,54.40386424,95.79500826,6.024508646333617,11.0,23.800001878004807,138.55615985576924
37119,,2024,8.039921403,56.1065291,8213.918735,375.5852276447207,22.0,26.29125061035156,107.76400146484374
37121,,2024,5.425634886,55.69435545,1021.02088,46.43807449743784,5.0,20.625,135.60562133789062
37123,,2024,7.406681412,52.36945909,573.6686274,115.7530841420752,5.0,26.440540210620775,123.35203758445944
37125,,2024,7.184442728,52.11989194,85.83305022,4.679794597996223,6.0,26.497998046875,129.032900390625
37127,,2024,6.633786676,52.64765264,220.8986643,18.07304697593185,10.0,26.165433907214503,132.47703269675927
37129,,2024,5.352132907,53.37687235,2078.135477,155.84472417009553,26.0,27.02068881330819,204.8886213631465
37131,,2024,6.285374173,51.04799522,816.9891255,,5.0,26.139506775655864,137.72653838734567
37133,,2024,5.397951793,53.22463973,213.111952,397.6734116020801,21.0,26.607408311631943,188.00944010416663
37135,,2024,7.180318073,52.68641174,167.4401314,34.058521875083514,112.0,25.717240958378238,122.8343127020474
37137,,2024,5.339421008,52.09579833,476.8676528,114.39976653022012,10.0,26.943139169730397,179.47981770833334
37139,,2024,5.72688966,50.60848812,17.65387335,19.63587311583908,4.0,26.25428641183036,143.97772042410713
37141,,2024,5.253446379,53.16732514,1973.099413,130.24522738473826,9.0,26.757723180259145,188.4667492378049
37143,,2024,5.659214517,50.32469467,318.5013219,19.355892113765087,2.0,26.289473684210527,146.93130653782896
37145,,2024,7.011994128,51.65911615,375.8531546,12.165545973273456,68.0,25.35999959309896,117.55384114583332
37147,,2024,6.000760978,52.75675553,365.4386884,72.1261192173779,7.0,26.627085367838543,167.81009928385416
37149,,2024,6.642494015,54.72397944,360.4753665,,8.0,25.251514781605117,131.55635949337122
37151,,2024,7.512121072,54.31239455,2158.034214,77.1082567546005,26.0,26.00731627921748,121.02210365853658
37153,,2024,7.20606679,52.27630524,159.6776399,15.975349228402315,5.0,26.890277438693577,126.31570095486111
37155,,2024,6.713096477,52.92322121,180.7008489,12.793377831955304,14.0,27.170713588169644,141.3337890625
37157,,2024,7.209227963,53.60810971,565.5351253,42.170666160403,80.0,25.56207345545977,116.53149694683908
37159,,2024,8.154839698,55.95145042,4994.642219,175.48304098835905,13.0,25.630380364912973,110.47520272943038
37161,,2024,7.004355988,54.52177737,616.4319634,21.45382869760402,17.0,25.415475027901785,119.43023390997024
37163,,2024,6.312247267,53.62050306,314.8560288,8.020378141457803,8.0,26.78102189781022,159.23745437956205
37165,,2024,7.071667504,52.63827296,338.5410675,,6.0,27.00800048828125,127.33
37167,,2024,7.730833965,53.83308043,1558.77843,170.9614121149007,9.0,26.522034725900426,117.08864373675848
37169,,2024,7.275985284,54.0368775,1576.932168,18.418593932187704,23.0,24.935714285714287,115.42843191964286
37171,,2024,6.984725463,52.69703905,773.9434784,21.248097018559267,24.0,24.275999348958333,125.0190625
37173,,2024,5.822997824,54.30339545,23.42467902,6.039669152468557,10.0,20.567073170731707,162.53877667682926
37175,,2024,5.733154969,53.65886781,57.73962673,17.403760265428154,25.0,21.603570120675226,173.19142368861608
37177,,2024,5.348135792,50.3105,98.87556826,49.85079413836933,2.0,26.59499918619792,155.55016276041667
37179,,2024,7.615950272,53.22234561,2511.747245,245.5687759678704,8.0,26.578889973958333,107.60966796875
37181,,2024,6.808024361,51.43768943,1440.029612,7.363418304062826,7.0,25.87631546823602,115.80946751644736
37183,,2024,7.364235001,53.69428221,751.525902,225.8310747754649,56.0,26.35702896118164,128.90414428710938
37185,,2024,6.575951936,51.26624867,105.4525697,25.815293419725847,3.0,26.040001502403847,123.83076923076923
37187,,2024,5.56707153,49.77156067,776.8159378,51.98422098083692,6.0,26.46908957741477,157.6578125
37189,,2024,5.716956119,53.40905594,203.6558467,20.85910634880275,34.0,20.375,138.00522682883522
37191,,2024,6.441778232,53.84324036,58.50663512,27.25952721275363,9.0,26.72926591082317,158.4303663300305
37193,,2024,6.742705154,52.03487509,267.0591805,28.42069712744572,15.0,24.10973364905973,126.48141938606194
37195,,2024,6.597436831,53.042786,306.8150731,16.14419304309334,1.0,26.527272727272727,147.24436257102272
37197,,2024,7.571318974,53.42437069,722.1896234,26.73010298020275,11.0,24.896155724158653,111.76134314903848
37199,,2024,5.346355142,56.509185,1871.49779,92.86620248397548,5.0,20.34042553191489,138.8195748836436
